날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1980-12-03,108,-1.6,-7.2,2.6
1980-12-04,108,-7.1,-9.9,-3.7
1980-12-05,108,-3.3,-8.5,1.6
1980-12-08,108,-0.9,-2.9,1.4
1980-12-09,108,-2.8,-5.5,0.2
1980-12-12,108,-7.8,-13.3,-1
1980-12-13,108,-10.5,-14.5,-6
1980-12-14,108,-6.6,-10,-3.1
1980-12-15,108,-6.7,-10.4,-1.2
1980-12-16,108,-4.4,-8.8,0.5
1980-12-17,108,-2.1,-6.7,3.2
1980-12-18,108,-1,-3.3,2.9
1980-12-19,108,-3.5,-5.8,-0.4
1980-12-20,108,-5.7,-8,-2.7
1980-12-21,108,-5.4,-10.1,0.4
1980-12-22,108,-2.1,-6.5,2.1
1980-12-23,108,-1.3,-5,0.5
1980-12-24,108,-2.6,-6.1,2.4
1980-12-25,108,-1.1,-4,2.2
1980-12-26,108,-8.3,-10.7,-4
1980-12-27,108,-10.4,-12.5,-7.2
1980-12-28,108,-12.1,-13.7,-8.4
1980-12-29,108,-12.9,-16.2,-8.7
1980-12-30,108,-9.8,-14.5,-4.2
1980-12-31,108,-6.3,-11.4,-1.2
1981-01-01,108,-3.3,-6.3,-0.2
1981-01-02,108,-9.6,-12.5,-6.3
1981-01-03,108,-12.2,-14.7,-8.8
1981-01-04,108,-12.1,-16.5,-7.1
1981-01-05,108,-11.7,-14.9,-8.2
1981-01-06,108,-10,-15.3,-4.8
1981-01-07,108,-7.1,-12.5,-0.5
1981-01-08,108,-4.7,-9.8,-0.8
1981-01-09,108,-3.4,-6.9,0.8
1981-01-10,108,-7,-10.2,-4.2
1981-01-11,108,-7.6,-11.6,-3.4
1981-01-12,108,-6,-9,-1.6
1981-01-13,108,-9.1,-11.7,-5.5
1981-01-14,108,-8.6,-13.4,-4.2
1981-01-15,108,-5.6,-8.2,-2.7
1981-01-16,108,-5.9,-8.6,-2.2
1981-01-17,108,-7.2,-12,-1.5
1981-01-18,108,-4.1,-8.2,0.6
1981-01-19,108,-5.2,-7.8,-1.6
1981-01-20,108,-7.1,-11,-2.3
1981-01-21,108,-7.5,-11.3,-2.6
1981-01-22,108,-8.4,-12.2,-3.7
1981-01-23,108,-6.5,-11.2,-1.5
1981-01-24,108,-4.1,-5.8,-0.7
1981-01-25,108,-7.1,-10,-3.3
